Polutan,Metode,Jumlah_Fitur_Input,Jumlah_PCA,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Inertia,Cumulative_Variance
NO2,PCA,68,19,6,0.1893438408104754,0.9393599910238885,20.392102298047444,566.5394328212516,0.9950512901548504
NO2,PCA,68,19,7,0.1664927668142367,1.0148555380612283,19.63207889776925,493.2420159587514,0.9950512901548504
NO2,PCA,68,19,8,0.1636097320430697,1.019945879474896,18.48618965512737,444.86150221797794,0.9950512901548504
NO2,PCA,68,19,9,0.1695398539846564,1.064297394602984,17.598831554024304,403.0888324396976,0.9950512901548504
NO2,PCA,68,19,10,0.1777679668522968,0.8537268989397269,17.138088756163796,361.9879641976062,0.9950512901548504
NO2,PCA,68,20,2,0.7466096018533499,0.1622540098068901,29.628599776708736,1317.6371973319665,0.9963384471425278
NO2,PCA,68,20,3,0.1928023525871645,1.1184879405090828,24.678448592994865,992.4072438153768,0.9963384471425278
NO2,PCA,68,20,4,0.2051651825049333,0.9770754259209856,22.326719200786933,803.0686490889454,0.9963384471425278
NO2,PCA,68,20,5,0.219140244802304,0.8392736150106964,22.08488444076064,646.9849648817299,0.9963384471425278
NO2,PCA,68,20,6,0.1884260015491777,0.94236924230495,20.28256292254747,569.6186834044399,0.9963384471425278
NO2,PCA,68,20,7,0.1651384761283163,1.0184195837155452,19.512244259660594,496.2945175783226,0.9963384471425278
NO2,PCA,68,20,8,0.1634488058416293,1.0211384242517252,18.388597146312904,447.366317607028,0.9963384471425278
NO2,PCA,68,20,9,0.1692609345881811,1.0660565500995731,17.502299623640514,405.4653471442611,0.9963384471425278
NO2,PCA,68,20,10,0.1767609742800011,0.857297344767262,17.007214370669836,364.8271732653897,0.9963384471425278
NO2,PCA,68,21,2,0.7462566117068142,0.1625237778972512,29.56707678293961,1320.378931575039,0.9974611893948904
NO2,PCA,68,21,3,0.1921146342722607,1.1207548744096314,24.61050355259985,995.1478660717204,0.9974611893948904
NO2,PCA,68,21,4,0.206318605995831,0.9943691141519516,22.258347279676236,805.626396411433,0.9974611893948904
NO2,PCA,68,21,5,0.2184305966518488,0.8412593009436966,21.993979716889648,649.6771012032711,0.9974611893948904
NO2,PCA,68,21,6,0.2022284350394758,0.8981014639530067,20.260373823043835,570.7387768937108,0.9974611893948904
NO2,PCA,68,21,7,0.1641441038367009,1.0216409002041302,19.40851765140919,498.9652094586938,0.9974611893948904
NO2,PCA,68,21,8,0.1694753688501157,0.9793343371523252,18.153425012611905,452.5943961548415,0.9974611893948904
NO2,PCA,68,21,9,0.1674968487657676,0.8902420995531717,16.940953327834784,417.0696272834344,0.9974611893948904
NO2,PCA,68,21,10,0.1752618772216384,0.8603590794516774,16.886240648096727,367.460135015833,0.9974611893948904
NO2,PCA,68,22,2,0.7460027199827863,0.1627039584186916,29.519606790942444,1322.5022113370992,0.9983306734014452
NO2,PCA,68,22,3,0.1915294261109289,1.1225398913634943,24.55833881554615,997.2655490282484,0.9983306734014452
NO2,PCA,68,22,4,0.205670035826369,0.9962258337870196,22.20048327564721,807.733981649002,0.9983306734014452
